지점,지점명,일시,기온(°C),지면온도(°C)
90,속초,2023-10-19 01:00,20.6,15.9
90,속초,2023-10-19 02:00,20.8,15.9
90,속초,2023-10-19 03:00,20.3,15.9
90,속초,2023-10-19 04:00,20.4,16.1
90,속초,2023-10-19 05:00,20.4,16
90,속초,2023-10-19 06:00,20.8,16.2
90,속초,2023-10-19 07:00,19.7,16.2
90,속초,2023-10-19 08:00,19.8,16.4
90,속초,2023-10-19 09:00,19,16.7
90,속초,2023-10-19 10:00,18.9,16.8
90,속초,2023-10-19 11:00,18.4,16.9
90,속초,2023-10-19 12:00,18.9,18.1
90,속초,2023-10-19 13:00,19.1,18.6
90,속초,2023-10-19 14:00,19.6,19.3
90,속초,2023-10-19 15:00,19.7,19.5
90,속초,2023-10-19 16:00,19.6,20.8
90,속초,2023-10-19 17:00,18.7,17.7
90,속초,2023-10-19 18:00,17.9,16.4
90,속초,2023-10-19 19:00,18.5,15.7
90,속초,2023-10-19 20:00,18.3,15.1
90,속초,2023-10-19 21:00,18.4,14.9
90,속초,2023-10-19 22:00,18.1,14.7
90,속초,2023-10-19 23:00,17.6,14.7
90,속초,2023-10-20 00:00,17.2,14.7
